Time,Gear Ratio,Fuel Level (liter),RPM,X,Y
1,4.17,50,700,-114.0916201,51.050723
2,4.17,50,700,-114.0916484,51.0507091
3,4.17,49.996,700,-114.0916788,51.05069345
4,4.17,49.996,700,-114.091708,51.0506775
5,4.17,49.992,700,-114.0917462,51.0506559
6,4.17,49.986,700,-114.091777,51.05063729
7,4.17,49.982,700,-114.0548163,51.09599213
8,4.17,49.975,700,-114.054719,51.09597375
9,4.17,49.97485714,700,-114.0546081,51.09595269
10,4.17,49.97129762,800,-114.0545268,51.09593845
11,4.17,49.9677381,800,-114.0544516,51.09592371
12,4.17,49.96417857,800,-114.0543771,51.09591008
13,4.17,49.96061905,800,-114.0543165,51.09589738
14,4.17,49.95705952,800,-114.0542795,51.09588715
15,4.17,49.9535,800,-114.0542475,51.09587567
16,4.17,49.94994048,800,-114.0542135,51.09586078
17,2.34,49.94638095,800,-114.0541991,51.0958537
18,2.34,49.94282143,800,-114.0947348,51.0773613
19,2.34,49.9392619,800,-114.0947345,51.07780625
20,2.34,49.93570238,800,-114.037568,51.08154697
21,2.34,49.93214286,1000,-114.037878,51.08154767
22,2.34,49.92858333,1000,-114.0381881,51.08154835
23,2.34,49.92502381,1000,-114.0384981,51.08154904
24,2.34,49.92146429,1000,-114.0388081,51.08154973
25,2.34,49.91790476,1000,-114.0625238,51.07695041
26,2.34,49.91434524,1000,-114.0625241,51.07717342
27,2.34,49.91078571,1000,-114.0625245,51.07739642
28,2.34,49.90722619,1000,-114.0625248,51.07761943
29,2.34,49.90366667,1000,-114.0625251,51.07784243
30,2.34,49.90010714,1000,-114.0845713,51.07394889
31,2.34,49.89654762,1000,-114.0845909,51.07542624
32,2.34,49.8929881,1000,-114.0845949,51.07588656
33,2.34,49.88942857,1000,-114.0846017,51.07664868
34,2.34,49.88586905,1400,-114.0713767,51.11066778
35,2.34,49.88230952,1400,-114.0715356,51.11067494
36,2.34,49.87875,1400,-114.0946039,51.06517211
37,2.34,49.87519048,1400,-114.0946357,51.06525903
38,2.34,49.87163095,1400,-114.0946504,51.06534466
39,2.34,49.86807143,1400,-114.0946581,51.06556503
40,2.34,49.8645119,1400,-114.0946533,51.06587105
41,2.34,49.86095238,1400,-114.0946414,51.06624349
42,2.34,49.85739286,1400,-114.0946348,51.06658034
43,2.34,49.85383333,1400,-114.0946314,51.06667548
44,2.34,49.85027381,1400,-114.0946317,51.06684299
45,2.34,49.84671429,1400,-114.094632,51.06698471
46,2.34,49.84315476,2000,-114.0946324,51.06717104
47,2.34,49.83959524,2000,-114.0946339,51.0679261
48,2.34,49.83603571,2000,-114.0946351,51.06852463
49,1.52,49.83247619,2000,-114.0946355,51.06871532
50,1.52,49.82891667,2000,-114.0946283,51.06875274
51,1.52,49.82535714,2000,-114.0946085,51.06878472
52,1.52,49.82179762,2000,-114.0945895,51.06881386
53,1.52,49.8182381,2000,-114.0455196,51.09594783
54,1.52,49.81467857,2000,-114.0451899,51.09591369
55,1.52,49.81111905,2000,-114.0448697,51.09588449
56,1.52,49.80755952,2000,-114.0445959,51.09584836
57,1.52,49.804,2100,-114.0444207,51.09581738
58,1.52,49.80044048,2100,-114.0442192,51.0957729
59,1.52,49.79688095,2100,-114.0439893,51.09570916
60,1.52,49.79332143,2100,-114.0437866,51.0956385
61,1.52,49.7897619,2100,-114.0435046,51.09552647
62,1.52,49.78620238,2100,-114.0431111,51.09536482
63,1.52,49.78264286,2100,-114.0428318,51.09523899
64,1.52,49.77908333,2100,-114.0425552,51.09511315
65,1.52,49.77552381,2100,-114.0423499,51.09501144
66,1.52,49.77196429,2100,-114.0419157,51.09478618
67,1.52,49.76840476,2100,-114.0415707,51.09459826
68,1.52,49.76484524,2100,-114.0412695,51.0944293
69,1.52,49.76128571,2100,-114.041149,51.09434826
70,1.52,49.75772619,2100,-114.0409086,51.09417633
71,1.52,49.75416667,2100,-114.040821,51.09410045
72,1.52,49.75060714,2100,-114.0406757,51.09393661
73,1.52,49.74704762,2100,-114.0405908,51.09382278
74,1.52,49.7434881,2100,-114.0404788,51.09361147
75,1.52,49.73992857,2100,-114.0404404,51.0935166
76,1.52,49.73636905,2100,-114.0403691,51.09333548
77,1.52,49.73280952,2100,-114.0403279,51.09318885
78,1.52,49.72925,2100,-114.040202,51.09273441
79,1.52,49.72569048,2100,-114.040169,51.09261193
80,1.52,49.72213095,2100,-114.0401118,51.0924143
81,1.52,49.71857143,2100,-114.0321906,51.08076302
82,1.52,49.7150119,2100,-114.0322754,51.08086343
83,1.52,49.71145238,2100,-114.0323491,51.08095728
84,1.52,49.70789286,2100,-114.0324683,51.0810975
85,1.52,49.70433333,2100,-114.0325419,51.08118362
86,1.52,49.70077381,2100,-114.0326067,51.08124766
87,1.52,49.69721429,2100,-114.0326611,51.08130176
88,1.52,49.69365476,2100,-114.0327137,51.08134702
89,1.52,49.69009524,2100,-114.032754,51.08137793
90,1.52,49.68653571,2100,-114.0327945,51.08141092
91,1.52,49.68297619,2100,-114.0348244,51.08102343
92,1.52,49.67941667,2100,-114.0346508,51.08091519
93,1.52,49.67585714,2100,-114.0343135,51.08070999
94,1.52,49.67229762,2100,-114.0339312,51.08047231
95,1.52,49.6687381,2100,-114.0333398,51.08010994
96,1.52,49.66517857,2100,-114.0331318,51.07998187
97,1.52,49.66161905,2100,-114.032984,51.0798829
98,1.52,49.65805952,2100,-114.0328249,51.07977155
99,1.52,49.6545,2100,-114.0326239,51.07963766
100,1.52,49.65094048,2100,-114.0324899,51.0795416
101,1.52,49.64738095,2100,-114.0323097,51.07939896
102,1.52,49.64382143,2100,-114.0320675,51.07920451
103,1.52,49.6402619,2100,-114.0317556,51.07895125
104,1.52,49.63670238,2100,-114.0315667,51.0787977
105,1.52,49.63314286,2100,-114.0313033,51.07857791
106,1.52,49.62958333,2100,-114.0311323,51.07843672
107,1.52,49.62602381,2100,-114.0309867,51.07833047
108,1.52,49.62246429,2100,-114.0304996,51.07800469
109,1.52,49.61890476,2100,-114.0502829,51.05108355
110,1.52,49.61534524,2100,-114.0502829,51.05114282
111,1.52,49.61178571,2100,-114.0502829,51.0512573
112,1.52,49.60822619,2100,-114.0502844,51.05136506
113,1.52,49.60466667,2200,-114.0502831,51.05143485
114,1.52,49.60110714,2200,-114.069938,51.11056496
115,1.52,49.59754762,2200,-114.0696636,51.11056446
116,1.52,49.5939881,2200,-114.0693892,51.11056396
117,1.52,49.59042857,2200,-114.0691148,51.11056345
118,1.52,49.58686905,2200,-114.0688404,51.11056295
119,1.52,49.58330952,2200,-114.0833396,51.10921959
120,1.52,49.57975,2200,-114.0831968,51.10967588
121,1.52,49.57619048,2200,-114.0831288,51.10993874
122,1.52,49.57263095,2200,-114.0830567,51.11029604
123,1.52,49.56907143,2200,-114.0830207,51.11053586
124,1.52,49.5655119,2200,-114.0829862,51.11087695
125,1.52,49.56195238,2200,-114.0829733,51.11117255
126,1.52,49.55839286,2200,-114.0829774,51.11147356
127,1.52,49.55483333,2200,-114.082987,51.11166525
128,1.52,49.55127381,2200,-114.0830078,51.1118911
129,1.52,49.54771429,2200,-114.0830332,51.11208974
130,1.52,49.54415476,2200,-114.0830664,51.11228811
131,1.52,49.54059524,2200,-114.0831099,51.1125061
132,1.52,49.53703571,2200,-114.0831599,51.11271721
133,1.52,49.53347619,2200,-114.0832211,51.11293667
134,1.52,49.52991667,2200,-114.083291,51.11316201
135,1.52,49.52635714,2200,-114.0833555,51.11334167
136,1.52,49.52279762,2200,-114.0834177,51.11349856
137,1.52,49.5192381,2200,-114.0834794,51.11364762
138,1.52,49.51567857,2200,-114.0835501,51.11381356
139,1.52,49.51211905,2200,-114.0836283,51.11397754
140,1.52,49.50855952,2200,-114.0837147,51.11415572
141,1.52,49.505,2200,-114.0838437,51.11439958
142,1.52,49.50144048,2200,-114.083991,51.11465563
143,1.52,49.49788095,2200,-114.0841487,51.11491485
144,1.52,49.49432143,2200,-114.0843572,51.11521682
145,1.52,49.4907619,2200,-114.0845034,51.11541649
146,1.52,49.48720238,2200,-114.084661,51.11562511
147,1.52,49.48364286,2200,-114.0848178,51.115818
148,1.52,49.48008333,2200,-114.0849634,51.11598956
149,1.52,49.47652381,2200,-114.0851561,51.11620438
150,1.52,49.47296429,2200,-114.0852635,51.11631855
151,1.52,49.46940476,2200,-114.0853404,51.11640029
152,1.52,49.46584524,2200,-114.0855196,51.11658317
153,1.52,49.46228571,2200,-114.0857075,51.11676681
154,1.52,49.45872619,2200,-114.0859641,51.11700251
155,1.52,49.45516667,2200,-114.0861469,51.11716449
156,1.52,49.45160714,2200,-114.0863503,51.1173346
157,1.52,49.44804762,2200,-114.086583,51.11752107
158,1.52,49.4444881,2200,-114.0868923,51.11775577
159,1.52,49.44092857,2200,-114.0871332,51.11793661
160,1.52,49.43736905,2200,-114.0873517,51.11809862
161,1.52,49.43380952,2200,-114.0875524,51.11824926
162,1.52,49.43025,2200,-114.0877408,51.11838861
163,1.52,49.42669048,2200,-114.0880306,51.11860456
164,1.52,49.42313095,2200,-114.0882774,51.11878868
165,1.52,49.41957143,2200,-114.0885066,51.11895912
166,1.52,49.4160119,2200,-114.0887537,51.11914331
167,1.52,49.41245238,2200,-114.0890381,51.11935482
168,1.52,49.40889286,2200,-114.0893291,51.11957367
169,1.52,49.40533333,2200,-114.0896116,51.11978565
170,1.52,49.40177381,2200,-114.0900421,51.120107
171,1.52,49.39821429,2200,-114.0905222,51.12046694
172,1.52,49.39465476,2200,-114.0909746,51.12080615
173,1.52,49.39109524,2200,-114.0912893,51.12104144
174,1.52,49.38753571,2200,-114.0916928,51.12134483
175,1.52,49.38397619,2200,-114.0919344,51.12152726
176,1.52,49.38041667,2200,-114.0922605,51.12178062
177,1.52,49.37685714,2200,-114.0925561,51.12202015
178,1.52,49.37329762,2200,-114.0927213,51.12215483
179,1.52,49.3697381,2200,-114.0929349,51.12233875
180,1.52,49.36617857,2200,-114.0931869,51.12256172
181,1.52,49.36261905,2200,-114.0934588,51.1228075
182,1.52,49.35905952,2200,-114.0936618,51.12299889
183,1.52,49.3555,2200,-114.0938696,51.12319655
184,1.52,49.35194048,2200,-114.0940614,51.12337704
185,1.52,49.34838095,2200,-114.0942199,51.12352226
186,1.52,49.34482143,2200,-114.0943812,51.12366219
187,1.52,49.3412619,2200,-114.0944044,51.1236821
188,1.52,49.33770238,2200,-114.0944228,51.123697
189,1.52,49.33414286,2200,-114.0945942,51.12383509
190,1.52,49.33058333,2200,-114.0947969,51.12398799
191,1.52,49.32702381,2200,-114.0949653,51.12410462
192,1.52,49.32346429,2200,-114.0951451,51.12422404
193,1.52,49.31990476,2200,-114.0952913,51.12431516
194,1.52,49.31634524,2200,-114.0955382,51.1244612
195,1.52,49.31278571,2200,-114.0958329,51.12462108
196,1.52,49.30922619,2200,-114.0960977,51.12475194
197,1.52,49.30566667,2200,-114.0963108,51.12485082
198,1.52,49.30210714,2200,-114.0965439,51.124954
199,1.52,49.29854762,2200,-114.0967965,51.12506503
200,1.52,49.2949881,2200,-114.0521732,51.08958825
201,1.52,49.29142857,2200,-114.0521106,51.08946009
202,1.52,49.28786905,2200,-114.0520528,51.08935188
203,1.52,49.28430952,2200,-114.0520031,51.08922337
204,1.52,49.28075,2200,-114.0519761,51.08912529
205,1.52,49.27719048,2200,-114.051952,51.08902702
206,1.52,49.27363095,2200,-114.0519384,51.08891709
207,1.52,49.27007143,2200,-114.0519316,51.08882577
208,1.52,49.2665119,2200,-114.0519234,51.08873519
209,1.52,49.26295238,2200,-114.0367685,51.04219458
210,1.52,49.25939286,2200,-114.0361633,51.04195955
211,1.52,49.25583333,2200,-114.0355581,51.04172451
212,1.52,49.25227381,2200,-114.0349529,51.04148947
213,1.52,49.24871429,2200,-114.0343477,51.04125443
214,1.52,49.24515476,2200,-114.0623454,51.11089633
215,1.52,49.24159524,2200,-114.0623487,51.1110165
216,1.52,49.23803571,2200,-114.0623783,51.11130898
217,1.52,49.23447619,2200,-114.0624077,51.11142209
218,1.52,49.23091667,2200,-114.0625035,51.11165571
219,1.52,49.22735714,2200,-114.0626353,51.11186457
220,1.52,49.22379762,2200,-114.06278,51.11203316
221,1.52,49.2202381,2200,-114.063001,51.11224503
222,1.52,49.21667857,2200,-114.0634397,51.1126015
223,1.52,49.21311905,2200,-114.06453,51.11347484
224,1.52,49.20955952,2400,-114.1069676,51.09281099
225,1.52,49.206,2400,-114.1069417,51.09279126
226,1.52,49.20244048,2400,-114.1069189,51.09277277
227,1.52,49.19888095,2400,-114.106896,51.09275429
228,1.52,49.19532143,2400,-114.1068715,51.09273787
229,1.52,49.1917619,2400,-114.106829,51.0927081
230,1.52,49.18820238,2400,-114.1068013,51.09268757
231,1.52,49.18464286,2400,-114.1067653,51.09265779
232,1.52,49.18108333,2400,-114.1067294,51.09262801
233,1.52,49.17752381,2400,-114.1067179,51.09261466
234,1.52,49.17396429,2400,-114.1067032,51.09259001
235,1.52,49.17040476,2400,-114.1066868,51.09256329
236,1.52,49.16684524,2400,-114.1066721,51.09254275
237,1.52,49.16328571,2400,-114.1066557,51.09250782
238,1.52,49.15972619,2400,-114.1066393,51.0924698
239,1.52,49.15616667,2400,-114.1066294,51.09242664
240,1.52,49.15260714,2400,-114.1066277,51.09238244
241,1.52,49.14904762,2400,-114.1066325,51.09232384
242,1.52,49.1454881,2400,-114.1066437,51.09226524
243,1.52,49.14192857,2400,-114.1066502,51.09222515
244,1.52,49.13836905,2400,-114.1066485,51.09220048
245,1.52,49.13480952,2400,-114.1066492,51.09216486
246,1.52,49.13125,2400,-114.062436,51.10807375
247,1.52,49.12769048,2400,-114.0624372,51.10847817
248,1.52,49.12413095,2400,-114.1125352,51.06705492
249,1.52,49.12057143,2400,-114.112972,51.067054
250,1.52,49.1170119,2400,-114.1134088,51.06705308
251,1.52,49.11345238,2400,-114.1138456,51.06705216
252,1.52,49.10989286,2400,-114.1142825,51.06705124
253,1.52,49.10633333,2400,-114.0741168,51.04220307
254,1.52,49.10277381,2400,-114.0741242,51.04208574
255,1.52,49.09921429,2400,-114.0741317,51.04196841
256,1.52,49.09565476,2400,-114.0741392,51.04185108
257,1.52,49.09209524,2400,-114.0741467,51.04173375
258,1.52,49.08853571,2400,-114.0688401,51.11067317
259,1.52,49.08497619,2400,-114.0704627,51.11067835
260,1.52,49.08141667,2400,-114.070852,51.11066454
261,1.52,49.07785714,2400,-114.0711902,51.1106631
262,1.52,49.07429762,2400,-114.0713767,51.11066778
263,1.52,49.0707381,2400,-114.1139409,51.04511093
264,1.52,49.06717857,2400,-114.1139194,51.04503473
265,1.52,49.06361905,2400,-114.1138981,51.0449609
266,1.52,49.06005952,2400,-114.113854,51.04486453
267,1.52,49.0565,2400,-114.1138131,51.04478149
268,1.52,49.05294048,2400,-114.1137609,51.04470154
269,1.52,49.04938095,2400,-114.1136533,51.04454116
270,1.52,49.04582143,2400,-114.1135407,51.04434741
271,1.52,49.0422619,2400,-114.1134346,51.04418341
272,1.52,49.03870238,2400,-114.113363,51.04406101
273,1.52,49.03514286,2400,-114.113265,51.04389186
274,1.52,49.03158333,2400,-114.113166,51.04369774
275,1.52,49.02802381,2400,-114.1131068,51.04357256
276,1.52,49.02446429,2400,-114.1130783,51.04349231
277,1.52,49.02090476,2400,-114.1130765,51.04342595
278,1.52,49.01734524,2400,-114.1130814,51.04336102
279,1.52,49.01378571,2400,-114.1131084,51.04327715
280,1.52,49.01022619,2400,-114.1131506,51.0432086
